"LLAVEHOG","LLAVEVIV","P2_8","FOLIO","VIV_SEL","HOGAR","EST_DIS","UPM_DIS","FAC_HOG"
"00001011","0000101","01","00001","01","1","017","00196",633
"00002101","0000210","01","00002","10","1","179","02088",1811
"00003031","0000303","02","00003","03","1","050","00763",485
"00004011","0000401","01","00004","01","1","017","00182",739
"00005031","0000503","01","00005","03","1","049","00631",3756
"00006031","0000603","00","00006","03","1","040","00459",4568
"00007041","0000704","00","00007","04","1","111","01380",3726
"00008031","0000803","02","00008","03","1","135","01585",1797
"00009041","0000904","02","00009","04","1","107","01297",3504
"00010041","0001004","01","00010","04","1","011","00136",2692
"00011021","0001102","01","00011","02","1","127","01481",2049
"00012011","0001201","01","00012","01","1","057","00834",19030
"00013031","0001303","03","00013","03","1","156","01831",1596
"00014081","0001408","00","00014","08","1","039","00454",3356
"00015041","0001504","02","00015","04","1","097","01171",1518
"00016091","0001609","02","00016","09","1","077","00970",8757
"00017041","0001704","00","00017","04","1","030","00358",1424
"00018161","0001816","00","00018","16","1","070","00933",2426
"00019041","0001904","02","00019","04","1","044","00508",2710
"00020081","0002008","01","00020","08","1","160","01848",1343
"00021051","0002105","01","00021","05","1","087","01095",11960
"00022051","0002205","02","00022","05","1","059","00861",5503
"00023181","0002318","01","00023","18","1","088","01108",4784
"00024131","0002413","02","00024","13","1","008","00063",1922
"00025021","0002502","00","00025","02","1","050","00735",2939
"00026011","0002601","02","00026","01","1","186","02143",1518
"00026012","0002601","00","00026","01","2","186","02143",1518
"00027011","0002701","01","00027","01","1","164","01953",2054
"00028051","0002805","03","00028","05","1","056","00829",19751
"00029201","0002920","01","00029","20","1","153","01812",2385
"00030011","0003001","00","00030","01","1","050","00736",2891
"00031021","0003102","02","00031","02","1","120","01419",6156
"00032091","0003209","01","00032","09","1","089","01113",3095
"00033161","0003316","02","00033","16","1","153","01811",2396
"00034031","0003403","03","00034","03","1","030","00356",1435
"00035041","0003504","01","00035","04","1","151","01773",2173
"00036031","0003603","00","00036","03","1","127","01494",1700
"00037041","0003704","01","00037","04","1","011","00137",2455
"00038041","0003804","01","00038","04","1","164","01958",1911
"00039031","0003903","02","00039","03","1","049","00612",4271
"00040141","0004014","01","00040","14","1","063","00888",2579
"00041021","0004102","02","00041","02","1","071","00934",2679
"00042151","0004215","03","00042","15","1","116","01407",6595
"00043151","0004315","01","00043","15","1","043","00482",3070
