LLAVESDE,LLAVEMOD,LLAVEVIV,LLAVEHOG,N_REN,FOLIO,VIV_SEL,HOGAR,EDAD_V,SEXO,NIV,GRA,PAREN,ENT,TLOC,REGION,P3_2,P3_8,P3_10,P3_11A,P3_11B,P3_12,P3_14,P3_5_5,P4_1,P4_3,P4_10,P4_11,P0_1,P0_2,P0_3,P0_4_2,P1_1,P2_8,P6_2_1,P6_2_2,P6_2_3,P6_2_4,P6_2_5,P6_2_6,P6_2_7,P6_2_8,P6_2_9,P8_1,P8_5_1,P8_5_2,P8_5_3,P12_2,P12_3,P12_4,P13_2_1,P13_2_2,P6_3_1,P6_3_2,P6_3_3,P6_3_4,P6_3_5,P6_3_6,P6_3_7,P6_3_8,P6_3_9,P6_4_1,P6_4_2,P6_4_3,P6_4_4,P6_4_5,P6_4_6,P6_4_7,P6_4_8,P6_4_9,delinquent_any,delinquent_count
101101,101101,101,1011,1,1,1,1,38,1,8,4,1,3,1,1,5,1,1.0,7000.0,2.0,1.0,1,1,1,1,3,2,2,4,1,1,3,1,1,1,2,1,2,2,2,2,2,1,1.0,1.0,2.0,1,1,1,2,2,2.0,2.0,,2.0,,,,,,,,,,,,,,,0,0
210101,210101,210,2101,1,2,10,1,36,1,8,5,1,31,3,6,2,1,1.0,12000.0,3.0,2.0,1,1,1,1,4,2,1,3,1,1,1,1,2,1,2,2,2,1,2,2,2,1,1.0,1.0,1.0,2,1,3,1,1,,2.0,,,,2.0,,,,,,,,,,,,,0,0
303102,303102,303,3031,2,3,3,1,20,1,3,3,3,9,1,4,6,1,1.0,3000.0,2.0,1.0,1,1,2,1,2,2,2,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,3,1,2,2,2,,,,,,,,,,,,,,,,,,,0,0
401101,401101,401,4011,1,4,1,1,59,1,3,3,1,3,1,1,4,1,1.0,3500.0,1.0,1.0,1,1,2,1,1,2,1,4,1,1,1,1,2,1,2,2,2,2,2,2,2,2,,,,1,1,2,1,1,,2.0,,,,,,,,,,,,,,,,,0,0
503101,503101,503,5031,1,5,3,1,37,2,6,3,1,9,1,4,5,1,1.0,1000.0,1.0,2.0,1,1,2,2,9,2,3,6,2,1,4,1,2,2,2,2,2,2,2,2,2,2,,,,2,2,3,2,2,,,,,,,,,,,,,,,,,,,0,0
603102,603102,603,6031,2,6,3,1,53,2,3,3,2,7,1,6,5,1,1.0,500.0,1.0,1.0,1,1,2,2,3,2,2,4,1,1,4,0,2,2,2,2,2,2,2,2,2,2,,,,9,9,2,1,2,,,,,,,,,,,,,,,,,,,0,0
704101,704101,704,7041,1,7,4,1,40,1,2,6,1,20,4,6,1,7,,,,,1,1,2,1,1,2,1,3,0,2,6,0,2,2,2,2,2,2,2,2,2,2,,,,2,1,1,2,2,,,,,,,,,,,,,,,,,,,0,0
803102,803102,803,8031,2,8,3,1,24,2,8,2,2,24,2,2,1,1,1.0,3600.0,2.0,1.0,1,1,1,2,2,2,1,3,1,2,3,2,2,2,2,2,2,2,2,2,2,2,,,,1,1,3,2,2,,,,,,,,,,,,,,,,,,,0,0
904102,904102,904,9041,2,9,4,1,41,2,3,3,2,19,1,2,5,1,1.0,99888.0,,,1,1,2,1,1,2,3,4,1,1,4,2,2,2,2,2,2,2,2,2,2,2,,,,3,1,2,2,2,,,,,,,,,,,,,,,,,,,0,0
1004101,1004101,1004,10041,1,10,4,1,37,1,3,3,1,2,1,1,5,1,1.0,3000.0,1.0,1.0,1,1,1,1,1,2,3,4,1,1,4,1,2,2,2,2,2,2,2,2,2,2,,,,1,1,3,2,2,,,,,,,,,,,,,,,,,,,0,0
1102102,1102102,1102,11021,2,11,2,1,53,2,2,6,2,22,1,3,5,1,1.0,1800.0,1.0,1.0,2,1,2,1,1,2,3,5,2,1,4,1,2,2,2,2,2,2,2,2,2,2,,,,1,1,3,2,2,,,,,,,,,,,,,,,,,,,0,0
1201102,1201102,1201,12011,2,12,1,1,37,2,3,3,2,11,4,3,5,7,,,,,1,1,2,1,5,2,3,5,2,1,5,1,2,2,2,2,2,2,2,2,2,2,,,,2,3,3,2,1,,,,,,,,,,,,,,,,,,,0,0
1303104,1303104,1303,13031,4,13,3,1,20,1,6,3,3,27,1,6,6,1,3.0,900.0,1.0,2.0,1,1,2,2,3,1,2,4,1,1,5,3,1,2,2,2,2,2,2,2,2,2,,,,1,1,3,2,2,2.0,,,,,,,,,,,,,,,,,,0,0
1408102,1408102,1408,14081,2,14,8,1,65,1,2,1,2,7,4,6,5,1,2.0,1080.0,1.0,2.0,2,2,1,1,2,1,3,3,0,1,2,0,2,2,2,2,2,2,2,2,2,2,,,,9,9,3,1,2,,,,,,,,,,,,,,,,,,,0,0
1504101,1504101,1504,15041,1,15,4,1,46,1,6,3,1,17,1,5,1,1,5.0,2000.0,1.0,2.0,1,1,2,1,1,2,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2.0,2.0,1.0,3,1,3,2,1,,,,,,,,,,,,,,,,,,,0,0
1609104,1609104,1609,16091,4,16,9,1,22,1,6,3,3,14,4,3,6,1,1.0,1800.0,1.0,1.0,1,1,2,1,5,2,3,4,1,1,6,2,2,2,2,2,2,2,2,2,2,2,,,,2,2,3,2,2,,,,,,,,,,,,,,,,,,,0,0
1704101,1704101,1704,17041,1,17,4,1,42,2,3,3,1,5,1,2,2,7,,,,,1,1,2,2,1,2,3,5,1,1,4,0,1,2,2,2,2,2,2,2,2,2,,,,2,1,3,2,1,1.0,,,,,,,,,2.0,,,,,,,,,1,1
